square;x;y
SUG1;50000;150000
SUG3;100000;150000
SUG4;100000;100000
SUH2;50000;200000
SUH4;100000;200000
SVF1;150000;50000
SVG1;150000;150000
SVG2;150000;100000
SVG3;200000;150000
SVG4;200000;100000
SVH2;150000;200000
SVH3;200000;250000
SVH4;200000;200000
SVJ3;200000;350000
SVJ4;200000;300000
SWF1;250000;50000
SWF3;300000;50000
SWG1;250000;150000
SWG2;250000;100000
SWG3;300000;150000
SWG4;300000;100000
SWH1;250000;250000
SWH2;250000;200000
SWH3;300000;250000
SWH4;300000;200000
SWJ2;250000;300000
SWJ4;300000;300000
SXG1;350000;150000
SXG2;350000;100000
SXG3;400000;150000
SXH1;350000;250000
SXH2;350000;200000
SXH3;400000;250000
SXH4;400000;200000
